M,1580.436,17.16
L,1574.241,25.014
L,1568,32.83
L,1561.67,40.571
L,1555.204,48.2
L,1547.832,56.472
L,1540.943,63.747
L,1533.832,70.825
L,1526.508,77.699
L,1518.979,84.361
L,1511.254,90.807
L,1503.342,97.028
L,1495.25,103.018
L,1486.988,108.771
L,1478.564,114.28
L,1469.986,119.538
L,1461.264,124.54
L,1450.176,130.416
L,1441.158,134.817
L,1432.022,138.952
L,1422.775,142.828
L,1413.425,146.453
L,1403.98,149.831
L,1394.446,152.971
L,1384.832,155.879
L,1375.145,158.561
L,1365.393,161.024
L,1355.583,163.274
L,1345.723,165.319
L,1335.82,167.165
L,1325.882,168.818
L,1315.917,170.286
L,1305.72,171.6
L,1295.721,172.712
L,1285.713,173.652
L,1275.697,174.424
L,1265.675,175.029
L,1255.65,175.469
L,1245.624,175.744
L,1235.599,175.858
L,1225.578,175.811
L,1215.563,175.606
L,1205.556,175.244
L,1195.559,174.726
L,1185.575,174.056
L,1175.606,173.233
L,1165.653,172.261
L,1155.648,171.132
L,1145.736,169.865
L,1135.844,168.463
L,1125.97,166.935
L,1116.114,165.291
L,1106.273,163.543
L,1096.445,161.701
L,1086.631,159.775
L,1076.826,157.776
L,1067.032,155.713
L,1057.245,153.598
L,1047.464,151.442
L,1037.687,149.253
L,1027.914,147.043
L,1017.9,144.768
L,842.244,104.052
L,832.543,101.622
L,822.843,99.186
L,813.146,96.74
L,803.454,94.276
L,793.768,91.79
L,784.089,89.277
L,774.42,86.73
L,766.272,84.552
L,756.623,81.931
L,746.983,79.276
L,737.35,76.594
L,727.722,73.894
L,718.096,71.185
L,708.47,68.476
L,698.842,65.774
L,689.21,63.089
L,679.57,60.43
L,669.921,57.804
L,660.26,55.22
L,650.585,52.688
L,640.893,50.215
L,631.183,47.811
L,621.451,45.483
L,614.328,43.836
L,604.555,41.661
L,594.757,39.58
L,584.937,37.596
L,575.096,35.712
L,565.235,33.931
L,555.354,32.255
L,545.457,30.687
L,535.543,29.23
L,525.615,27.887
L,515.673,26.66
L,505.72,25.551
L,495.755,24.565
L,485.781,23.703
L,475.799,22.967
L,465.81,22.362
L,455.815,21.89
L,450.216,21.684
L,440.216,21.424
L,430.213,21.304
L,420.211,21.329
L,410.21,21.502
L,400.212,21.827
L,390.218,22.307
L,380.231,22.947
L,370.251,23.75
L,360.281,24.72
L,350.321,25.861
L,340.375,27.176
L,330.442,28.67
L,320.525,30.345
L,310.625,32.206
L,300.456,34.32
L,290.598,36.57
L,280.771,39.017
L,270.986,41.667
L,261.255,44.523
L,251.586,47.591
L,241.993,50.873
L,232.484,54.375
L,223.071,58.101
L,213.765,62.056
L,204.577,66.243
L,195.517,70.668
L,186.595,75.334
L,177.824,80.246
L,169.213,85.408
L,160.774,90.825
L,152.516,96.501
L,144.451,102.44
L,138.216,107.328
L,130.522,113.747
L,123.042,120.427
L,115.777,127.354
L,108.729,134.518
L,101.899,141.907
L,95.289,149.51
L,88.9,157.315
L,82.733,165.31
L,76.791,173.485
L,71.075,181.827
L,65.587,190.324
L,60.327,198.967
L,55.297,207.742
L,50.5,216.638
L,44.304,229.008
L,40.061,238.147
L,36.051,247.376
L,32.269,256.688
L,28.713,266.081
L,25.379,275.547
L,22.263,285.084
L,19.362,294.685
L,16.673,304.346
L,14.192,314.062
L,11.917,323.828
L,9.842,333.64
L,7.966,343.492
L,6.285,353.379
L,5.148,360.828
L,3.8,370.766
L,2.64,380.728
L,1.667,390.709
L,0.88,400.706
L,0.278,410.716
L,-0.139,420.733
L,-0.372,430.756
L,-0.423,440.779
L,-0.293,450.8
L,0.019,460.814
L,0.511,470.818
L,1.182,480.808
L,1.872,489.06
L,2.867,499.016
L,4.034,508.95
L,5.366,518.863
L,6.857,528.754
L,8.501,538.623
L,10.291,548.469
L,12.222,558.293
L,14.288,568.093
L,16.482,577.869
L,18.798,587.622
L,21.229,597.35
L,23.771,607.053
L,26.416,616.731
L,29.158,626.384
L,31.991,636.011
L,34.788,645.216
L,37.783,654.791
L,40.857,664.339
L,44.008,673.861
L,47.235,683.355
L,50.539,692.822
L,53.917,702.261
L,57.37,711.672
L,60.896,721.056
L,64.495,730.411
L,68.165,739.737
L,71.906,749.035
L,75.717,758.305
L,79.598,767.545
L,83.547,776.756
